Player,Team,Runs,Balls,4s,6s,Strike Rate,Venue,Pitch Condition
Yashasvi Jaiswal,Rajasthan Royals Innings,75,47,2,159.57,,Rajasthan Royals Squad,Balanced
Samson (c & wk),Rajasthan Royals Innings,15,19,0,78.95,,Rajasthan Royals Squad,Balanced
Riyan Parag,Rajasthan Royals Innings,30,22,1,136.36,,Rajasthan Royals Squad,Balanced
Dhruv Jurel,Rajasthan Royals Innings,35,23,2,152.17,,Rajasthan Royals Squad,Balanced
Hetmyer,Rajasthan Royals Innings,9,8,0,112.50,,Rajasthan Royals Squad,Balanced
Nitish Rana,Rajasthan Royals Innings,4,1,0,400.00,,Rajasthan Royals Squad,Balanced
Philip Salt,Royal Challengers Bengaluru Innings,65,33,6,196.97,,Rajasthan Royals Squad,Balanced
Virat Kohli,Royal Challengers Bengaluru Innings,62,45,2,137.78,,Rajasthan Royals Squad,Balanced
Devdutt Padikkal,Royal Challengers Bengaluru Innings,40,28,1,142.86,,Rajasthan Royals Squad,Balanced
